od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,#_of_nodes,distance_kmOD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
49,2,2146,0,0,0,0,sov,PM,6.93,0,1,1,0.0,46.1,46.0546,46.0546,17,11.0507,1.413460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
50,2,2146,0,0,1,0,sov,PM,8.02,0,1,1,0.0,18.6,18.6150,18.6150,23,11.4928,1.413460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
51,2,2147,0,0,0,0,sov,PM,6.12,0,1,1,0.0,22.0,22.0487,22.0487,26,12.8115,0.827080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
52,2,2197,0,0,0,0,sov,PM,25.91,0,1,1,0.0,7.0,6.9978,6.9978,11,3.8082,3.851200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
53,3,1,0,0,0,0,sov,PM,21.85,0,1,1,0.0,12.1,12.1120,12.1120,15,7.9530,3.248580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
54,3,4,0,0,0,0,sov,PM,6.12,0,1,1,0.0,10.3,10.3279,10.3279,19,6.4247,0.225620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
55,3,5,0,0,0,0,sov,PM,16.99,0,1,1,0.0,13.7,13.7248,13.7248,22,8.5810,2.524740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
56,3,6,0,0,0,0,sov,PM,34.64,0,1,1,0.0,44.3,44.3325,44.3325,14,11.3795,5.865540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
57,3,6,0,0,1,0,sov,PM,8.21,0,1,1,0.0,16.9,16.8929,16.8929,20,11.8216,5.865540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
58,3,8,0,0,0,0,sov,PM,6.12,0,1,1,0.0,10.0,10.0183,10.0183,13,5.8813,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
59,3,9,0,0,0,0,sov,PM,9.61,0,1,1,0.0,1.9,1.9227,1.9227,5,1.2219,1.429120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
60,3,10,0,0,0,0,sov,PM,6.12,0,1,1,0.0,4.4,4.4082,4.4082,9,2.7390,0.709340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
61,3,12,0,0,0,0,sov,PM,6.12,0,1,1,0.0,8.2,8.1982,8.1982,14,5.0690,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
62,3,14,0,0,0,0,sov,PM,6.12,0,1,1,0.0,11.3,11.3224,11.3224,19,6.9523,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
63,3,16,0,0,0,0,sov,PM,4.09,0,1,1,0.0,44.9,44.9153,44.9153,16,10.5821,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
64,3,16,0,0,1,0,sov,PM,8.14,0,1,1,0.0,17.5,17.4757,17.4757,22,11.0242,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
65,3,17,0,0,0,0,sov,PM,6.12,0,1,1,0.0,15.9,15.9482,15.9482,20,9.6150,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
66,3,602,0,0,0,0,sov,PM,6.12,0,1,1,0.0,19.4,19.4008,19.4008,22,10.1369,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
67,3,615,0,0,0,0,sov,PM,4.34,0,1,1,0.0,47.4,47.4005,47.4005,15,11.0130,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
68,3,615,0,0,1,0,sov,PM,7.89,0,1,1,0.0,20.0,19.9609,19.9609,21,11.4551,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
69,3,617,0,0,0,0,sov,PM,6.12,0,1,1,0.0,19.2,19.1604,19.1604,22,11.1968,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
70,3,619,0,0,0,0,sov,PM,6.12,0,1,1,0.0,16.1,16.1422,16.1422,19,9.0652,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
71,3,620,0,0,0,0,sov,PM,3.53,0,1,1,0.0,42.6,42.6318,42.6318,13,8.7296,0.060900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
72,3,620,0,0,1,0,sov,PM,8.70,0,1,1,0.0,14.1,14.1151,14.1151,17,7.6403,0.060900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
73,3,621,0,0,0,0,sov,PM,6.12,0,1,1,0.0,12.1,12.0948,12.0948,13,6.9769,0.098020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
74,3,622,0,0,0,0,sov,PM,6.12,0,1,1,0.0,11.6,11.5911,11.5911,21,7.0655,0.352060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
75,3,623,0,0,0,0,sov,PM,6.12,0,1,1,0.0,9.9,9.9003,9.9003,12,5.7625,0.174580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
76,3,624,0,0,0,0,sov,PM,6.12,0,1,1,0.0,9.5,9.4878,9.4878,14,5.3017,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
77,3,625,0,0,0,0,sov,PM,6.12,0,1,1,0.0,8.2,8.2086,8.2086,11,4.8438,0.060900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
78,3,626,0,0,0,0,sov,PM,6.12,0,1,1,0.0,6.0,5.9660,5.9660,10,3.4038,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
79,3,627,0,0,0,0,sov,PM,7.58,0,1,1,0.0,5.0,5.0352,5.0352,7,2.7468,1.126360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
80,3,628,0,0,0,0,sov,PM,6.12,0,1,1,0.0,11.9,11.8720,11.8720,19,6.8649,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
81,3,633,0,0,0,0,sov,PM,6.12,0,1,1,0.0,8.6,8.6067,8.6067,14,4.9711,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
82,3,637,0,0,0,0,sov,PM,6.12,0,1,1,0.0,7.3,7.2915,7.2915,12,4.0700,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
83,3,640,0,0,0,0,sov,PM,6.12,0,1,1,0.0,4.7,4.6812,4.6812,7,2.4062,0.120640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
84,3,645,0,0,0,0,sov,PM,6.12,0,1,1,0.0,4.4,4.3514,4.3514,8,2.2742,0.234320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
85,3,646,0,0,0,0,sov,PM,6.12,0,1,1,0.0,16.4,16.3634,16.3634,17,9.1736,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
