o_zone_id,d_zone_id,links
2,8,"['201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201848AB', '201849BA']"
2,10,"['201070AB', '201548AB', '201549AB', '201557AB', '201559AB', '201560BA', '201574AB', '201823BA']"
2,12,"['201070AB', '201502BA', '201508AB', '201509BA', '201514AB', '201517BA', '201520BA', '201526BA', '201549AB', '201559AB', '201560BA', '201574AB', '201823BA']"
2,14,"['201070AB', '201105BA', '201292AB', '201294AB', '201300AB', '201317AB', '201320BA', '201335BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201559AB', '201560BA', '201574AB', '201823BA']"
2,16,"['200820AB', '200998AB', '201000AB', '201001AB', '201065BA', '201070AB', '201078AB', '201090BA', '201102AB', '201342BA', '201345AB', '201346BA', '201351BA', '201352AB', '201353BA', '201354BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201589AB', '201595BA', '201606BA', '201635AB', '201644AB', '201645AB', '201646AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA', 'detour-linkb']"
2,19,"['201070AB', '201550AB', '201574AB', '201823BA']"
2,602,"['200831AB', '200917BA', '201070AB', '201105BA', '201271AB', '201280AB', '201286AB', '201294AB', '201317AB', '201320BA', '201335BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201559AB', '201560BA', '201574AB', '201823BA']"
2,615,"['200820AB', '200833BA', '200846BA', '200997BA', '201001AB', '201061AB', '201065BA', '201070AB', '201078AB', '201090BA', '201102AB', '201342BA', '201345AB', '201346BA', '201351BA', '201352AB', '201353BA', '201354BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201589AB', '201595BA', '201606BA', '201635AB', '201644AB', '201645AB', '201646AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA', 'detour-linkb']"
2,617,"['201065BA', '201070AB', '201078AB', '201090BA', '201102AB', '201342BA', '201345AB', '201346BA', '201351BA', '201352AB', '201353BA', '201354BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201589AB', '201596AB', '201597BA', '201601BA', '201602BA', '201604BA', '201605AB', '201635AB', '201644AB', '201645AB', '201646AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA']"
2,619,"['201065BA', '201070AB', '201078AB', '201090BA', '201102AB', '201342BA', '201345AB', '201346BA', '201351BA', '201352AB', '201353BA', '201354BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201589AB', '201604BA', '201605AB', '201607BA', '201635AB', '201644AB', '201645AB', '201646AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA']"
2,620,"['201046BA', '201061AB', '201065BA', '201070AB', '201078AB', '201090BA', '201102AB', '201290BA', '201342BA', '201345AB', '201346BA', '201351BA', '201352AB', '201353BA', '201354BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201589AB', '201635AB', '201644AB', '201645AB', '201646AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA', 'detour-linkb']"
2,621,"['201070AB', '201104AB', '201338BA', '201340BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201532AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201823BA']"
